condition,prime,target
Pronouncable Nonword Target,Charme,Anteel
Pronouncable Nonword Target,Ahorn,Aume
Pronouncable Nonword Target,Rum,Blaktion
Pronouncable Nonword Target,Schlacht,Clor
Pronouncable Nonword Target,Strom,Blente
Pronouncable Nonword Target,Kerze,Olkofol
Pronouncable Nonword Target,Bad,Jot
Pronouncable Nonword Target,Laune,Blats
Pronouncable Nonword Target,Gedicht,Pastes
Pronouncable Nonword Target,Geruch,Läde
Pronouncable Nonword Target,Club,Gossel
Pronouncable Nonword Target,Oper,Coche
Pronouncable Nonword Target,Gehirn,Anligeen
Pronouncable Nonword Target,Stellung,Schwabem
Unpronouncable Nonword Target,Frost,Gartfg
Unpronouncable Nonword Target,Kohl,Fuat
Unpronouncable Nonword Target,Toleranz,Xrzd
Unpronouncable Nonword Target,Los,Rnkt
Unpronouncable Nonword Target,Ikone,Eickf
Unpronouncable Nonword Target,Wendung,Htimne
Unpronouncable Nonword Target,Klon,Ltial
Unpronouncable Nonword Target,Ritter,Spwl
Unpronouncable Nonword Target,Jaguar,Mlans
Unpronouncable Nonword Target,Rutsche,Txbtz
Unpronouncable Nonword Target,Geiz,Poofer
Unpronouncable Nonword Target,Zauberei,Oegikt
Unpronouncable Nonword Target,Diva,Priei
Unpronouncable Nonword Target,Puls,Peat
Unpronouncable Nonword Target,Lektion,Rchalp
Unpronouncable Nonword Target,Benutzer,Rüie
Unpronouncable Nonword Target,Ofen,Bpch
Unpronouncable Nonword Target,Verbot,Ypannw
Unpronouncable Nonword Target,Firma,Hpt
Unpronouncable Nonword Target,Liga,Oscke
Unpronouncable Nonword Target,Schwarm,Uarbon
Unpronouncable Nonword Target,Berg,Wldz
Unpronouncable Nonword Target,Wandel,Schpne
Unpronouncable Nonword Target,Show,Raepf
Unpronouncable Nonword Target,Trumpf,Miscrer
Unpronouncable Nonword Target,Peiniger,Erci
Unpronouncable Nonword Target,Foto,Babou
Unpronouncable Nonword Target,Arena,Jangb
Unpronouncable Nonword Target,Narr,Aieo
Unpronouncable Nonword Target,Quark,Spieavr
Unpronouncable Nonword Target,Reibung,Compt
Unpronouncable Nonword Target,Lehrer,Niael
Unpronouncable Nonword Target,Glauben,Iär
Unpronouncable Nonword Target,Abschied,Aroje
Unpronouncable Nonword Target,Chance,Pauchjr
Unpronouncable Nonword Target,Ring,Lkaende
Unpronouncable Nonword Target,Banner,Earge
Unpronouncable Nonword Target,Blume,Xerbhnd
Unpronouncable Nonword Target,Jod,Bius
Unpronouncable Nonword Target,Ekstase,Abrt
Unpronouncable Nonword Target,Zelt,Tmer
Unpronouncable Nonword Target,Oase,Teeae
Unpronouncable Nonword Target,Panzer,Glijs
Unpronouncable Nonword Target,Vertrag,Xagnei
Unpronouncable Nonword Target,Anhänger,Gzl
Unpronouncable Nonword Target,Opa,Gzfükl
Unpronouncable Nonword Target,Taxi,Nanctu
Unpronouncable Nonword Target,Drache,Gaoen
Unpronouncable Nonword Target,Zensur,Tahj
Unpronouncable Nonword Target,Lüge,Jhyz
Unpronouncable Nonword Target,Kämpfer,Sciwaoz
Unpronouncable Nonword Target,Computer,Stuidq
Unpronouncable Nonword Target,Milz,Faiediof
Unpronouncable Nonword Target,Karte,Autaa
Unpronouncable Nonword Target,Kurs,Tüufeb
Unpronouncable Nonword Target,Zeitung,Gultrch
Unpronouncable Nonword Target,Handel,Lffthng
Unpronouncable Nonword Target,Schlucht,Oerlaui
Unpronouncable Nonword Target,Meer,Aohaltär
Unpronouncable Nonword Target,Schock,Keitii
Unpronouncable Nonword Target,Messung,Torscaer
Unpronouncable Nonword Target,Titel,Koztnn
Unpronouncable Nonword Target,Netz,Oean
Unpronouncable Nonword Target,Unikat,Vhiskiy
Unpronouncable Nonword Target,Quatsch,Upstaid
Unpronouncable Nonword Target,Prediger,Oupha
Unpronouncable Nonword Target,Zange,Uof
Unpronouncable Nonword Target,Siedler,Hsnsdcht
Unpronouncable Nonword Target,Kakao,Abmnt
Unpronouncable Nonword Target,Ergebnis,Iims
Unpronouncable Nonword Target,Posten,Amzsicht
Unpronouncable Nonword Target,Kühler,Wäier
Unpronouncable Nonword Target,Jagd,Metiuer
Unpronouncable Nonword Target,Inhaber,Jroniy
Unpronouncable Nonword Target,Leitung,Vfrsjcht
