condition,prime,target
w,Ort,Pfosten
w,Pudel,Kreis
w,Ticket,Sitz
w,Treppe,Ozon
w,Figur,Karton
w,Kante,Delikt
w,Erz,Verband
n,Bastard,Edo
n,Richter,Anwopfer
n,Kapitel,Aufwag
n,Schulter,Räwision
n,Fackel,Käscher
n,Team,Dolgt
n,Frist,Erlegris
n,Chronik,Nohre
n,Graben,Erren
n,Harfe,Körung
n,Referenz,Sips
n,Ertrag,Mofi
n,Rüstung,Nänker
n,Lichtung,Tagavin
n,Nahrung,Honrabe
n,Duo,Gezycht
n,Brei,Kolloks
n,Inferno,Barrung
n,Husten,Zazo
n,Gruppe,Ima
n,Plus,Junser
n,Suche,Hep
n,Chaos,Esfe
n,Golf,Schatung
n,Burg,Hebbü
n,Perle,Schola
n,Kammer,Fuby
n,Atom,Hoks
n,Mörder,Möhne
n,Debatte,Schilz
n,Ordner,Prot
n,Zeh,Rusry
n,Kunst,Verarrer
n,Dom,Grafd
n,Dusche,Sprusel
n,Ausgang,Kries
n,Zylinder,Ejol
n,Nerv,Siese
n,Igel,Liche
n,Jenseits,Trieer
n,Marsch,Jüges
n,Schwamm,Phasten
n,Ampel,Inbrage
n,Flieger,Eit
n,Schlamm,Nebtut
n,Karriere,Prie
n,Pickel,Pabem
n,Insel,Plase
n,Armee,Stürge
n,Feld,Lates
n,Gaul,Tahl
n,Hummer,Doasetes
n,Hemd,Breise
n,Schmuck,Kartler
n,Stil,Henfung
n,Vorlauf,Dinker
n,Echo,Gammung
n,Ingwer,Mocken
n,Helm,Zohne
n,Hotel,Queck
n,Bewegung,Atot
n,Charme,Anteel
n,Ahorn,Aume
n,Rum,Blaktion
n,Schlacht,Clor
n,Strom,Blente
n,Kerze,Olkofol
n,Bad,Jot
n,Laune,Blats
n,Gedicht,Pastes
n,Geruch,Läde
n,Club,Gossel
n,Oper,Coche
n,Gehirn,Anligeen
n,Stellung,Schwabem
n,Frost,Gartfg
n,Kohl,Fuat
n,Toleranz,Xrzd
n,Los,Rnkt
n,Ikone,Eickf
n,Wendung,Htimne
n,Klon,Ltial
n,Ritter,Spwl
n,Jaguar,Mlans
n,Rutsche,Txbtz
n,Geiz,Poofer
n,Zauberei,Oegikt
n,Diva,Priei
n,Puls,Peat
n,Lektion,Rchalp
n,Benutzer,Rüie
n,Ofen,Bpch
n,Verbot,Ypannw
n,Firma,Hpt
n,Liga,Oscke
n,Schwarm,Uarbon
n,Berg,Wldz
n,Wandel,Schpne
n,Show,Raepf
n,Trumpf,Miscrer
n,Peiniger,Erci
n,Foto,Babou
n,Arena,Jangb
n,Narr,Aieo
n,Quark,Spieavr
n,Reibung,Compt
n,Lehrer,Niael
n,Glauben,Iär
n,Abschied,Aroje
n,Chance,Pauchjr
n,Ring,Lkaende
n,Banner,Earge
n,Blume,Xerbhnd
n,Jod,Bius
n,Ekstase,Abrt
n,Zelt,Tmer
n,Oase,Teeae
n,Panzer,Glijs
n,Vertrag,Xagnei
n,Anhänger,Gzl
n,Opa,Gzfükl
n,Taxi,Nanctu
n,Drache,Gaoen
n,Zensur,Tahj
n,Lüge,Jhyz
n,Kämpfer,Sciwaoz
n,Computer,Stuidq
n,Milz,Faiediof
n,Karte,Autaa
n,Kurs,Tüufeb
n,Zeitung,Gultrch
n,Handel,Lffthng
n,Schlucht,Oerlaui
n,Meer,Aohaltär
n,Schock,Keitii
n,Messung,Torscaer
n,Titel,Koztnn
n,Netz,Oean
n,Unikat,Vhiskiy
n,Quatsch,Upstaid
n,Prediger,Oupha
n,Zange,Uof
n,Siedler,Hsnsdcht
n,Kakao,Abmnt
n,Ergebnis,Iims
n,Posten,Amzsicht
n,Kühler,Wäier
n,Jagd,Metiuer
n,Inhaber,Jroniy
n,Leitung,Vfrsjcht
